Rank,Country,Score,GDP,Social_support,Healthy_life_expectancy,Freedom_of_choices,Generosity,Perceptions_of_corruption,ISO_alpha,Sub_region
108,Uzbekistan,72.03,8.836,0.918,65.255,0.97,0.311,0.515,UZB,Central Asia
109,Mozambique,72.02,7.158,0.744,54.706,0.882,0.061,0.684,MOZ,Sub-Saharan Africa
110,Cameroon,71.38,8.189,0.71,53.515,0.731,0.026,0.848,CMR,Sub-Saharan Africa
111,Kuwait,71.15,10.817,0.843,66.9,0.867,-0.104,0.736,KWT,Western Asia
112,South Africa,71.01,9.403,0.86,56.904,0.749,-0.067,0.86,ZAF,Sub-Saharan Africa
113,Mauritius,70.64,10.008,0.905,66.701,0.867,-0.054,0.789,MUS,Sub-Saharan Africa
114,Namibia,70.61,9.161,0.818,56.799,0.719,-0.149,0.847,NAM,Sub-Saharan Africa
116,Lebanon,70.36,9.626,0.848,67.355,0.525,-0.073,0.898,LBN,Western Asia
117,Libya,70.31,9.622,0.827,62.3,0.771,-0.087,0.667,LBY,Northern Africa
118,Kenya,70.14,8.361,0.688,60.704,0.779,0.287,0.825,KEN,Sub-Saharan Africa
119,Zimbabwe,69.43,7.943,0.75,56.201,0.677,-0.047,0.821,ZWE,Sub-Saharan Africa
121,Zambia,68.99,8.145,0.708,55.809,0.782,0.061,0.823,ZMB,Sub-Saharan Africa
122,Madagascar,68.96,7.396,0.686,59.305,0.552,-0.005,0.803,MDG,Sub-Saharan Africa
123,Iraq,68.73,9.24,0.746,60.583,0.63,-0.053,0.875,IRQ,Western Asia
124,Egypt,68.58,9.367,0.75,61.998,0.749,-0.182,0.795,EGY,Northern Africa
125,Tunisia,68.5,9.266,0.691,67.201,0.656,-0.201,0.87,TUN,Northern Africa
127,Tanzania,68.06,7.876,0.702,57.999,0.833,0.183,0.577,TZA,Sub-Saharan Africa
128,Bahrain,67.65,10.669,0.862,69.495,0.925,0.089,0.722,BHR,Western Asia
129,Liberia,65.01,7.288,0.72,56.498,0.735,0.05,0.85,LBR,Sub-Saharan Africa
130,Nigeria,64.71,8.533,0.74,50.102,0.737,0.037,0.878,NGA,Sub-Saharan Africa
131,Ghana,64.42,8.58,0.727,57.586,0.807,0.123,0.848,GHA,Sub-Saharan Africa
132,Sierra Leone,63.84,7.434,0.63,51.651,0.717,0.084,0.866,SLE,Sub-Saharan Africa
133,Benin,62.25,8.087,0.489,54.713,0.757,-0.034,0.661,BEN,Sub-Saharan Africa
134,Iran,61.62,9.584,0.71,66.3,0.608,0.218,0.714,IRN,Southern Asia
136,Malawi,59.95,6.958,0.537,57.948,0.78,0.038,0.729,MWI,Sub-Saharan Africa
137,Togo,58.23,7.362,0.569,54.914,0.619,0.032,0.772,TGO,Sub-Saharan Africa
138,Gabon,57.18,9.603,0.776,59.962,0.731,-0.2,0.84,GAB,Sub-Saharan Africa
139,Burkina Faso,56.8,7.678,0.672,54.151,0.695,-0.009,0.748,BFA,Sub-Saharan Africa
142,Senegal,51.26,8.118,0.71,59.802,0.695,-0.046,0.801,SEN,Sub-Saharan Africa
143,Mauritania,49.43,8.542,0.795,57.161,0.561,-0.106,0.731,MRT,Sub-Saharan Africa
144,Uganda,46.91,7.677,0.781,56.101,0.709,0.122,0.855,UGA,Sub-Saharan Africa
145,Pakistan,44.81,8.458,0.651,58.709,0.726,0.098,0.787,PAK,Southern Asia
146,Ethiopia,44.73,7.694,0.764,59.0,0.752,0.082,0.761,ETH,Sub-Saharan Africa
147,Yemen,43.95,7.578,0.832,57.122,0.602,-0.147,0.8,YEM,Western Asia
149,Afghanistan,41.6,7.695,0.463,52.493,0.382,-0.102,0.924,AFG,Southern Asia
151,Lesotho,38.56,7.926,0.787,48.7,0.715,-0.131,0.915,LSO,Sub-Saharan Africa
152,Niger,23.56,7.098,0.641,53.78,0.806,0.018,0.693,NER,Sub-Saharan Africa
154,Chad,19.3,7.364,0.619,48.478,0.579,0.041,0.807,TCD,Sub-Saharan Africa
